,route_id,service_id,trip_id
89,1001,448,1001-2-448-1920
90,1001,448,1001-2-448-2200
91,1001,448,1001-2-448-2400
92,1002,287,1002-1-287-0600
93,1002,287,1002-1-287-0700
94,1002,287,1002-1-287-0715
95,1002,287,1002-1-287-1415
96,1002,287,1002-1-287-1430
97,1002,287,1002-1-287-1510
98,1002,287,1002-1-287-1540
99,1002,287,1002-1-287-1720
100,1002,287,1002-1-287-1828
101,1002,287,1002-1-287-2048
102,1002,287,1002-1-287-2130
103,1002,287,1002-1-287-2230
104,1002,480,1002-1-480-0600
105,1002,480,1002-1-480-2140
106,1006,287,1006-1-287-0737
107,1006,287,1006-1-287-0752
108,1006,287,1006-1-287-1800
109,1006,287,1006-1-287-1815
110,1006,287,1006-2-287-0715
111,1006,287,1006-2-287-0728
112,1006,287,1006-2-287-0741
113,1006,287,1006-2-287-0754
114,1006,287,1006-2-287-0807
115,1006,287,1006-2-287-1800
116,1006,287,1006-2-287-1815
117,1006,288,1006-1-288-0737
118,1006,288,1006-1-288-0752
119,1008,287,1008-1-287-0600
120,1008,287,1008-1-287-0615
121,1008,287,1008-1-287-0655
122,1008,287,1008-1-287-0742
123,1008,287,1008-1-287-0806
124,1008,287,1008-1-287-0906
125,1008,287,1008-1-287-0954
126,1008,287,1008-1-287-1200
127,1008,287,1008-1-287-1300
128,1008,287,1008-1-287-1330
129,1008,287,1008-1-287-1630
130,1008,287,1008-1-287-1700
131,1008,287,1008-1-287-1920
132,1008,287,1008-1-287-1950
133,1008,287,1008-1-287-2230
134,1008,287,1008-1-287-2300
135,1008,287,1008-2-287-0630
136,1008,287,1008-2-287-0700
137,1008,287,1008-2-287-0906
138,1008,287,1008-2-287-0920
139,1008,287,1008-2-287-0936
140,1008,287,1008-2-287-1030
141,1008,287,1008-2-287-1130
142,1008,287,1008-2-287-1200
143,1008,287,1008-2-287-1330
144,1008,287,1008-2-287-1730
145,1008,287,1008-2-287-1815
146,1008,287,1008-2-287-2055
147,1008,287,1008-2-287-2125
148,1008,287,1008-2-287-2245
149,1008,287,1008-2-287-2300
150,1008,288,1008-1-288-0600
151,1008,288,1008-1-288-0615
152,1008,288,1008-1-288-0655
153,1008,288,1008-1-288-0742
154,1008,288,1008-1-288-0806
155,1008,288,1008-1-288-0906
156,1008,288,1008-1-288-0954
157,1008,288,1008-1-288-1200
158,1008,288,1008-1-288-1300
159,1008,288,1008-1-288-1336
160,1008,288,1008-1-288-1352
161,1008,288,1008-1-288-1512
162,1008,288,1008-1-288-1530
163,1008,288,1008-1-288-1630
164,1008,288,1008-1-288-1648
165,1008,288,1008-1-288-1704
166,1008,288,1008-1-288-1824
167,1008,288,1008-1-288-1900
168,1008,288,1008-2-288-0630
169,1008,288,1008-2-288-0742
170,1008,288,1008-2-288-0906
171,1008,288,1008-2-288-0936
172,1008,288,1008-2-288-1030
173,1008,288,1008-2-288-1130
174,1008,288,1008-2-288-1200
175,1008,288,1008-2-288-1236
176,1008,288,1008-2-288-1436
177,1008,288,1008-2-288-1512
178,1008,288,1008-2-288-1528
179,1008,288,1008-2-288-1748
180,1008,288,1008-2-288-1824
181,1008,288,1008-2-288-1840
182,1008,448,1008-1-448-0600
183,1008,448,1008-1-448-1000
184,1008,448,1008-1-448-1030
185,1008,448,1008-1-448-1130
186,1008,448,1008-1-448-1230
187,1008,448,1008-1-448-1430
188,1008,448,1008-1-448-1600
189,1008,448,1008-1-448-1636
190,1008,448,1008-1-448-1736
191,1008,448,1008-1-448-1800
192,1008,448,1008-1-448-1930
193,1008,448,1008-1-448-2030
194,1008,448,1008-1-448-2300
195,1008,448,1008-2-448-0640
196,1008,448,1008-2-448-1000
197,1008,448,1008-2-448-1030
198,1008,448,1008-2-448-1110
199,1008,448,1008-2-448-1140
200,1008,448,1008-2-448-1300
201,1008,448,1008-2-448-1330
202,1008,448,1008-2-448-1500
203,1008,448,1008-2-448-1520
204,1008,448,1008-2-448-1536
205,1008,448,1008-2-448-1636
206,1008,448,1008-2-448-1800
207,1008,448,1008-2-448-1930
208,1008,448,1008-2-448-2050
209,1008,448,1008-2-448-2115
210,1008,448,1008-2-448-2215
211,1008,448,1008-2-448-2230
212,1008,448,1008-2-448-2310
213,1009,319,1009-1-319-0740
214,1009,319,1009-1-319-0805
215,1010,287,1010-1-287-0540
216,1010,287,1010-1-287-0630
217,1010,287,1010-1-287-0700
218,1010,287,1010-1-287-0710
219,1010,287,1010-1-287-0714
220,1010,287,1010-1-287-0720
221,1010,287,1010-1-287-0750
222,1010,287,1010-1-287-0758
223,1010,287,1010-1-287-0807
224,1010,287,1010-1-287-0815
225,1010,287,1010-1-287-0845
226,1010,287,1010-1-287-0919
227,1010,287,1010-1-287-1009
228,1010,287,1010-1-287-1015
229,1010,287,1010-1-287-1103
230,1010,287,1010-1-287-1139
231,1010,287,1010-1-287-1146
232,1010,287,1010-1-287-1224
233,1010,287,1010-1-287-1300
234,1010,287,1010-1-287-1305
